,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
document_158,i,love,so,much,bahan,rayon,emng,the,best,gk,tipis,gk,tebal,adem,parah,suka,banget,beli,warna,cute,parah,gemoy,,,,,,,,,,,,,,,,,,
document_159,kemaren,tetanga,beli,racun,bagus,gais,kemeja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_160,pengirimanya,cepet,banget,sen,sabtu,pagi,mingu,siang,baju,lumayan,oke,harga,segitu,terawang,baju,putih,wajar,terawang,bahan,flowyadem,baju,bayangin,wkwk,overal,,,,,,,,,,,,,,,,
document_161,bahan,rayon,adem,tangan,y,ngatung,pas,dipake,kaya,lengan,blm,coba,moga,gede,terimakasih,,,,,,,,,,,,,,,,,,,,,,,,,
document_162,bagos,nyesal,beli,pengemasanua,hari,doang,the,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_163,ragu,rekomend,banget,th,u,seller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_164,thank,you,ka,kacamata,udah,sampe,nih,kualitas,bagus,harga,murah,rada,besar,tp,muka,tp,gp,puas,,,,,,,,,,,,,,,,,,,,,,
document_165,kualitas,produk,asli,pict,pengirimanya,tpi,oke,harga,segitu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_166,tipisjadi,ringkih,putih,kaca,retakeh,kerangka,nyabpatahjadi,kaca,lepaspas,buka,packing,kaca,lepasmungkin,tumpuk,pas,expedisi,udah,pake,buble,,,,,,,,,,,,,,,,,,,,,
document_167,beli,kaca,copot,varian,model,sesuai,order,kecewa,harga,murah,iya,rugi,kacamata,d,pakai,moga,kali,teliti,kirim,barang,bintang,tega,,,,,,,,,,,,,,,,,,
document_168,kacamata,gelap,mau,gelap,kacamata,bawa,adek,foto,makasih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_169,bagus,kacamata,mewah,kayak,mahal,banget,gt,tebal,no,kaleng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_170,kaca,mata,bagus,banget,harga,segitu,kacamata,mahal,nyesel,beli,kacamata,pesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_171,pengirimanpengemasan,lumayan,cepet,harga,murce,banget,tp,liat,kek,mahal,model,bagus,thank,u,,,,,,,,,,,,,,,,,,,,,,,,,,
document_172,sebenernya,rusak,cuman,kaca,gede,banget,kaya,beda,gambar,kirim,he,papa,makasih,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_173,kacamata,keren,banget,suka,tambah,kekecewan,badai,langanan,ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_174,kacamata,adan,bagus,gagang,longar,dikit,belah,oke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_175,mantap,ragu,beli,tahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_176,pesan,kacamata,gm,black,pcs,datang,bener,pcs,sajayang,pcs,bungkus,pcs,tau,model,apayang,gm,repeat,pesan,lusin,bungkus,gentle,monster,gentle,mustangtolong,chek,lg,,,,,,,,,,,,,,
document_177,sy,pesan,titik,kirim,titik,klo,stok,bilang,sy,kirim,suka,hati,udah,langanan,disni,udah,kali,belanja,ko,kali,kecewa,banget,,,,,,,,,,,,,,,,,,
document_178,alhamdulilah,guys,kali,kali,pesan,nga,kecewa,harga,gila,banget,miring,toko,tengkyu,kakak,lancar,langanan,kakak,,,,,,,,,,,,,,,,,,,,,,,
